NMUNI;DIST;SECC;MESA;NLOCAL;NLOCALB;INFADICIONAL;DIRMESA1;DIRMESA2;DIRMESA3;DIRMESA4;CARGOFINAL;NOLISTA;GRES;IDENT;NOMBRE;APELLIDO1;APELLIDO2;DOMI1;DOMI2;DOMI3;DOMI4;DOMI5;CPOSTAL;Urtea;Hilabetea;Eguna;Jaiotze-Data;Jaiotze-Data
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS10;470;4;00000010A;IZENA0011;ABIZENA10011;ABIZENA20011;HELBIDEA00011;PASAI DONIBANE;PASAIA;;;20110;1979;5;12;1979/5/12;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS11;346;4;00000011A;IZENA0012;ABIZENA10012;ABIZENA20012;HELBIDEA00012;PASAI DONIBANE;PASAIA;;;20110;1975;6;6;1975/6/6;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS12;257;4;00000012A;IZENA0013;ABIZENA10013;ABIZENA20013;HELBIDEA00013;PASAI DONIBANE;PASAIA;;;20110;1964;4;10;1964/4/10;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS13;81;4;00000013A;IZENA0014;ABIZENA10014;ABIZENA20014;HELBIDEA00014;PASAI DONIBANE;PASAIA;;;20110;1964;11;26;1964/11/26;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;PS14;582;4;00000014A;IZENA0015;ABIZENA10015;ABIZENA20015;HELBIDEA00015;PASAI DONIBANE;PASAIA;;;20110;1981;8;21;1981/8/21;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1;569;4;00000015A;IZENA0016;ABIZENA10016;ABIZENA20016;HELBIDEA00016;PASAI DONIBANE;PASAIA;;;20110;1998;5;11;1998/5/11;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S1;184;4;00000016A;IZENA0017;ABIZENA10017;ABIZENA20017;HELBIDEA00017;PASAI DONIBANE;PASAIA;;;20110;1979;6;22;1979/6/22;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S2;507;3;00000017A;IZENA0018;ABIZENA10018;ABIZENA20018;HELBIDEA00018;PASAI DONIBANE;PASAIA;;;20110;2001;8;29;2001/8/29;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S3;170;2;00000018A;IZENA0019;ABIZENA10019;ABIZENA20019;HELBIDEA00019;PASAI DONIBANE;PASAIA;;;20110;1977;5;6;1977/5/6;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S4;547;4;00000019A;IZENA0020;ABIZENA10020;ABIZENA20020;HELBIDEA00020;PASAI DONIBANE;PASAIA;;;20110;1961;3;19;1961/3/19;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S5;41;3;00000020A;IZENA0021;ABIZENA10021;ABIZENA20021;HELBIDEA00021;PASAI DONIBANE;PASAIA;;;20110;1969;9;13;1969/9/13;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S6;328;4;00000021A;IZENA0022;ABIZENA10022;ABIZENA20022;HELBIDEA00022;PASAI DONIBANE;PASAIA;;;20110;1972;2;26;1972/2/26;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S7;339;4;00000022A;IZENA0023;ABIZENA10023;ABIZENA20023;HELBIDEA00023;PASAI DONIBANE;PASAIA;;;20110;1997;8;9;1997/8/9;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S8;598;3;00000023A;IZENA0024;ABIZENA10024;ABIZENA20024;HELBIDEA00024;PASAI DONIBANE;PASAIA;;;20110;1981;12;15;1981/12/15;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S9;589;4;00000024A;IZENA0025;ABIZENA10025;ABIZENA20025;HELBIDEA00025;PASAI DONIBANE;PASAIA;;;20110;1991;12;25;1991/12/25;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S10;132;4;00000025A;IZENA0026;ABIZENA10026;ABIZENA20026;HELBIDEA00026;PASAI DONIBANE;PASAIA;;;20110;1990;6;12;1990/6/12;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S11;350;3;00000026A;IZENA0027;ABIZENA10027;ABIZENA20027;HELBIDEA00027;PASAI DONIBANE;PASAIA;;;20110;1967;3;27;1967/3/27;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S12;315;3;00000027A;IZENA0028;ABIZENA10028;ABIZENA20028;HELBIDEA00028;PASAI DONIBANE;PASAIA;;;20110;1994;12;28;1994/12/28;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S13;344;3;00000028A;IZENA0029;ABIZENA10029;ABIZENA20029;HELBIDEA00029;TXARTIKU BASERRIA;*DISEMINADO*;PASAIA;;20110;1969;2;18;1969/2/18;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V1S14;358;4;00000029A;IZENA0030;ABIZENA10030;ABIZENA20030;HELBIDEA00030;PASAI DONIBANE;PASAIA;;;20110;1975;8;26;1975/8/26;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2;175;4;00000030A;IZENA0031;ABIZENA10031;ABIZENA20031;HELBIDEA00031;PASAI DONIBANE;PASAIA;;;20110;1962;1;18;1962/1/18;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S1;278;4;00000031A;IZENA0032;ABIZENA10032;ABIZENA20032;HELBIDEA00032;PASAI DONIBANE;PASAIA;;;20110;1999;10;13;1999/10/13;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S2;127;4;00000032A;IZENA0033;ABIZENA10033;ABIZENA20033;HELBIDEA00033;PASAI DONIBANE;PASAIA;;;20110;1976;12;23;1976/12/23;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S3;317;4;00000033A;IZENA0034;ABIZENA10034;ABIZENA20034;HELBIDEA00034;PASAI DONIBANE;PASAIA;;;20110;1959;6;10;1959/6/10;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S4;567;4;00000034A;IZENA0035;ABIZENA10035;ABIZENA20035;HELBIDEA00035;PASAI DONIBANE;PASAIA;;;20110;2000;12;24;2000/12/24;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S5;192;3;00000035A;IZENA0036;ABIZENA10036;ABIZENA20036;HELBIDEA00036;PASAI DONIBANE;PASAIA;;;20110;1961;8;27;1961/8/27;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S6;238;3;00000036A;IZENA0037;ABIZENA10037;ABIZENA20037;HELBIDEA00037;PASAI DONIBANE;PASAIA;;;20110;1965;4;18;1965/4/18;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S7;241;2;00000037A;IZENA0038;ABIZENA10038;ABIZENA20038;HELBIDEA00038;PASAI DONIBANE;PASAIA;;;20110;1955;10;28;1955/10/28;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S8;457;2;00000038A;IZENA0039;ABIZENA10039;ABIZENA20039;HELBIDEA00039;PASAI DONIBANE;PASAIA;;;20110;1963;3;29;1963/3/29;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S9;488;3;00000039A;IZENA0040;ABIZENA10040;ABIZENA20040;HELBIDEA00040;PASAI DONIBANE;PASAIA;;;20110;1966;2;17;1966/2/17;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S10;618;4;00000040A;IZENA0041;ABIZENA10041;ABIZENA20041;HELBIDEA00041;PASAI DONIBANE;PASAIA;;;20110;1964;9;30;1964/9/30;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S11;143;4;00000041A;IZENA0042;ABIZENA10042;ABIZENA20042;HELBIDEA00042;PASAI DONIBANE;PASAIA;;;20110;1990;1;20;1990/1/20;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S12;511;3;00000042A;IZENA0043;ABIZENA10043;ABIZENA20043;HELBIDEA00043;PASAI DONIBANE;PASAIA;;;20110;1967;7;15;1967/7/15;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S13;172;3;00000043A;IZENA0044;ABIZENA10044;ABIZENA20044;HELBIDEA00044;PASAI DONIBANE;PASAIA;;;20110;1967;1;8;1967/1/8;2021-05-05
PASAIA;1;1;U;CASA CONSISTORIAL PALACIO ARIZABALO;UDALETXEA ARIZABALO JAUREGIA;;. DONIBANE KALEA 19;PASAI DONIBANE;;;V2S14;107;4;00000044A;IZENA0045;ABIZENA10045;ABIZENA20045;HELBIDEA00045;PASAI DONIBANE;PASAIA;;;20110;1961;7;24;1961/7/24;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;P;204;4;00000045A;IZENA0046;ABIZENA10046;ABIZENA20046;HELBIDEA00046;PASAI DONIBANE;PASAIA;;;20110;1996;5;12;1996/5/12;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS1;24;4;00000046A;IZENA0047;ABIZENA10047;ABIZENA20047;HELBIDEA00047;PASAI DONIBANE;PASAIA;;;20110;1967;2;4;1967/2/4;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS2;201;4;00000047A;IZENA0048;ABIZENA10048;ABIZENA20048;HELBIDEA00048;PASAI DONIBANE;PASAIA;;;20110;1969;7;22;1969/7/22;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS3;349;4;00000048A;IZENA0049;ABIZENA10049;ABIZENA20049;HELBIDEA00049;PASAI DONIBANE;PASAIA;;;20110;1982;3;30;1982/3/30;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS4;166;4;00000049A;IZENA0050;ABIZENA10050;ABIZENA20050;HELBIDEA00050;PASAI DONIBANE;PASAIA;;;20110;1993;1;29;1993/1/29;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS5;305;4;00000050A;IZENA0051;ABIZENA10051;ABIZENA20051;HELBIDEA00051;PASAI DONIBANE;PASAIA;;;20110;1983;3;26;1983/3/26;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS6;148;4;00000051A;IZENA0052;ABIZENA10052;ABIZENA20052;HELBIDEA00052;PASAI DONIBANE;PASAIA;;;20110;1976;11;15;1976/11/15;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS7;260;4;00000052A;IZENA0053;ABIZENA10053;ABIZENA20053;HELBIDEA00053;PASAI DONIBANE;PASAIA;;;20110;1994;4;13;1994/4/13;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS8;516;4;00000053A;IZENA0054;ABIZENA10054;ABIZENA20054;HELBIDEA00054;PASAI DONIBANE;PASAIA;;;20110;1965;6;4;1965/6/4;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS9;77;4;00000054A;IZENA0055;ABIZENA10055;ABIZENA20055;HELBIDEA00055;PASAI DONIBANE;PASAIA;;;20110;1975;8;27;1975/8/27;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS10;5;4;00000055A;IZENA0056;ABIZENA10056;ABIZENA20056;HELBIDEA00056;PASAI DONIBANE;PASAIA;;;20110;1997;12;23;1997/12/23;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS11;246;4;00000056A;IZENA0057;ABIZENA10057;ABIZENA20057;HELBIDEA00057;PASAI DONIBANE;PASAIA;;;20110;1968;7;5;1968/7/5;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS12;197;4;00000057A;IZENA0058;ABIZENA10058;ABIZENA20058;HELBIDEA00058;PASAI DONIBANE;PASAIA;;;20110;1978;5;17;1978/5/17;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS13;132;4;00000058A;IZENA0059;ABIZENA10059;ABIZENA20059;HELBIDEA00059;PASAI DONIBANE;PASAIA;;;20110;1980;7;17;1980/7/17;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;PS14;492;4;00000059A;IZENA0060;ABIZENA10060;ABIZENA20060;HELBIDEA00060;PASAI DONIBANE;PASAIA;;;20110;2003;4;11;2003/4/11;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1;485;4;00000060A;IZENA0061;ABIZENA10061;ABIZENA20061;HELBIDEA00061;PASAI DONIBANE;PASAIA;;;20110;1988;1;28;1988/1/28;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S1;468;3;00000061A;IZENA0062;ABIZENA10062;ABIZENA20062;HELBIDEA00062;PASAI DONIBANE;PASAIA;;;20110;1962;6;24;1962/6/24;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S2;195;3;00000062A;IZENA0063;ABIZENA10063;ABIZENA20063;HELBIDEA00063;PASAI DONIBANE;PASAIA;;;20110;1971;3;6;1971/3/6;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S3;119;4;00000063A;IZENA0064;ABIZENA10064;ABIZENA20064;HELBIDEA00064;PASAI DONIBANE;PASAIA;;;20110;1982;12;13;1982/12/13;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S4;162;3;00000064A;IZENA0065;ABIZENA10065;ABIZENA20065;HELBIDEA00065;PASAI DONIBANE;PASAIA;;;20110;1960;2;21;1960/2/21;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S5;160;3;00000065A;IZENA0066;ABIZENA10066;ABIZENA20066;HELBIDEA00066;PASAI DONIBANE;PASAIA;;;20110;1974;11;11;1974/11/11;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S6;380;3;00000066A;IZENA0067;ABIZENA10067;ABIZENA20067;HELBIDEA00067;PASAI DONIBANE;PASAIA;;;20110;1995;8;13;1995/8/13;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S7;378;3;00000067A;IZENA0068;ABIZENA10068;ABIZENA20068;HELBIDEA00068;PASAI DONIBANE;PASAIA;;;20110;1975;10;31;1975/10/31;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S8;502;4;00000068A;IZENA0069;ABIZENA10069;ABIZENA20069;HELBIDEA00069;PASAI DONIBANE;PASAIA;;;20110;1977;8;8;1977/8/8;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S9;133;4;00000069A;IZENA0070;ABIZENA10070;ABIZENA20070;HELBIDEA00070;PASAI DONIBANE;PASAIA;;;20110;2000;10;10;2000/10/10;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S10;513;4;00000070A;IZENA0071;ABIZENA10071;ABIZENA20071;HELBIDEA00071;PASAI DONIBANE;PASAIA;;;20110;1978;1;27;1978/1/27;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S11;426;4;00000071A;IZENA0072;ABIZENA10072;ABIZENA20072;HELBIDEA00072;PASAI DONIBANE;PASAIA;;;20110;1981;10;27;1981/10/27;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S12;22;3;00000072A;IZENA0073;ABIZENA10073;ABIZENA20073;HELBIDEA00073;PASAI DONIBANE;PASAIA;;;20110;1982;3;11;1982/3/11;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S13;140;4;00000073A;IZENA0074;ABIZENA10074;ABIZENA20074;HELBIDEA00074;PASAI DONIBANE;PASAIA;;;20110;1972;3;15;1972/3/15;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V1S14;85;3;00000074A;IZENA0075;ABIZENA10075;ABIZENA20075;HELBIDEA00075;PASAI DONIBANE;PASAIA;;;20110;1958;12;28;1958/12/28;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V2;209;4;00000075A;IZENA0076;ABIZENA10076;ABIZENA20076;HELBIDEA00076;PASAI DONIBANE;PASAIA;;;20110;1976;3;16;1976/3/16;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V2S1;384;3;00000076A;IZENA0077;ABIZENA10077;ABIZENA20077;HELBIDEA00077;PASAI DONIBANE;PASAIA;;;20110;1954;7;19;1954/7/19;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V2S2;415;4;00000077A;IZENA0078;ABIZENA10078;ABIZENA20078;HELBIDEA00078;PASAI DONIBANE;PASAIA;;;20110;1967;4;26;1967/4/26;2021-05-05
PASAIA;1;2;A;ESCUELAS PUBLICAS;;;. JOSE JOAKIN OTAEGI PLAZA S/N;PASAI DONIBANE;;;V2S3;11;4;00000078A;IZENA0079;ABIZENA10079;ABIZENA20079;HELBIDEA00079;PASAI DONIBANE;PASAIA;;;20110;1955;3;3;1955/3/3;2021-05-05
